field_name,allowed_value,description
unit,mg/kg,controlled value
unit,ug/kg,controlled value
unit,µg/kg,controlled value
unit,g/kg,controlled value
unit,ppm,controlled value
unit,ppb,controlled value
detect_flag,0,controlled value
detect_flag,1,controlled value
qa_flag,pass,controlled value
qa_flag,warning,controlled value
qa_flag,fail,controlled value
background_type,local,controlled value
background_type,regional,controlled value
background_type,crustal,controlled value
background_type,regulatory,controlled value
background_type,literature,controlled value
active,0,controlled value
active,1,controlled value
required,0,controlled value
required,1,controlled value
parameter_type,int,controlled value
parameter_type,float,controlled value
parameter_type,bool,controlled value
parameter_type,string,controlled value
parameter_type,enum,controlled value
module,project,controlled value
module,clean,controlled value
module,features,controlled value
module,bayes,controlled value
module,belief,controlled value
module,dsmt,controlled value
module,neutrosophic,controlled value
module,rank,controlled value
module,validation,controlled value
nondetect_method,dl_sqrt2,controlled value
nondetect_method,dl_half,controlled value
nondetect_method,censored_bayes,controlled value
dsmt_model,free,controlled value
dsmt_model,hybrid,controlled value
dsmt_model,shafer,controlled value
direction_risk,higher_risk,controlled value
direction_risk,lower_risk,controlled value
direction_confidence,higher_confidence,controlled value
direction_confidence,lower_confidence,controlled value
receptor_type,water_intake,controlled value
receptor_type,settlement,controlled value
receptor_type,fishery,controlled value
receptor_type,wetland,controlled value
receptor_type,irrigation,controlled value
rule_type,exclude,controlled value
rule_type,warn,controlled value
rule_type,time_restrict,controlled value
rule_type,group_restrict,controlled value
forbidden_for_module,bayes,controlled value
forbidden_for_module,validation,controlled value
forbidden_for_module,ranking,controlled value
forbidden_for_module,all,controlled value
weight_source,stakeholder,controlled value
weight_source,entropy,controlled value
weight_source,equal,controlled value
weight_source,expert,controlled value
ranking_criterion,contamination_intensity,controlled value
ranking_criterion,source_plausibility,controlled value
ranking_criterion,exposure_relevance,controlled value
ranking_criterion,confidence,controlled value
ranking_criterion,field_verification,controlled value
label_source,field,controlled value
label_source,regulatory,controlled value
label_source,expert,controlled value
label_source,historical,controlled value
independent_of_features,0,controlled value
independent_of_features,1,controlled value
constraint_type,empty,controlled value
constraint_type,allowed,controlled value
constraint_type,forced_union,controlled value
variable_type,numeric,controlled value
variable_type,categorical,controlled value
variable_type,date,controlled value
variable_type,text,controlled value
