variable_name,table_name,variable_type,unit,allowed_min,allowed_max,allowed_values,description
site_id,site_metadata,text,,,,,Sampling sites and spatial context; field site_id
site_name,site_metadata,text,,,,,Sampling sites and spatial context; field site_name
latitude,site_metadata,numeric,,,,,Sampling sites and spatial context; field latitude
longitude,site_metadata,numeric,,,,,Sampling sites and spatial context; field longitude
catchment,site_metadata,text,,,,,Sampling sites and spatial context; field catchment
administrative_area,site_metadata,text,,,,,Sampling sites and spatial context; field administrative_area
site_type,site_metadata,text,,,,,Sampling sites and spatial context; field site_type
land_use_context,site_metadata,text,,,,,Sampling sites and spatial context; field land_use_context
notes,site_metadata,text,,,,,Sampling sites and spatial context; field notes
sample_id,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field sample_id"
site_id,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field site_id"
campaign_id,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field campaign_id"
sample_date,sampling_events,date,,,,,"Sampling events, dates, depth, QA and sample IDs; field sample_date"
matrix,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field matrix"
depth_min_cm,sampling_events,numeric,,,,,"Sampling events, dates, depth, QA and sample IDs; field depth_min_cm"
depth_max_cm,sampling_events,numeric,,,,,"Sampling events, dates, depth, QA and sample IDs; field depth_max_cm"
replicate_id,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field replicate_id"
qa_flag,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field qa_flag"
sampler,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field sampler"
notes,sampling_events,text,,,,,"Sampling events, dates, depth, QA and sample IDs; field notes"
concentration_id,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field concentration_id
sample_id,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field sample_id
site_id,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field site_id
metal,metal_concentrations,text,,,,,Raw sediment-metal concentration measurements; field metal
value,metal_concentrations,numeric,,,,,Raw sediment-metal concentration measurements; field value
