indicator_id,site_id,hypothesis_id,indicator_name,indicator_value,indicator_unit,direction,reliability_weight,evidence_date,data_source,notes
SRC-0001,GHSED-001,H_MINE,land_use_source_support_score,0.96,score_0_1,higher_risk,0.83,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0002,GHSED-001,H_URBAN,land_use_source_support_score,0.35,score_0_1,higher_risk,0.82,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0003,GHSED-001,H_AGRI,land_use_source_support_score,0.2,score_0_1,higher_risk,0.8,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0004,GHSED-001,H_LITHO,land_use_source_support_score,0.25,score_0_1,higher_risk,0.81,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0005,GHSED-001,H_PORT,land_use_source_support_score,0,score_0_1,higher_risk,0.77,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0006,GHSED-002,H_MINE,land_use_source_support_score,0.82,score_0_1,higher_risk,0.72,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0007,GHSED-002,H_URBAN,land_use_source_support_score,0.29,score_0_1,higher_risk,0.87,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0008,GHSED-002,H_AGRI,land_use_source_support_score,0.14,score_0_1,higher_risk,0.85,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0009,GHSED-002,H_LITHO,land_use_source_support_score,0.26,score_0_1,higher_risk,0.79,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0010,GHSED-002,H_PORT,land_use_source_support_score,0,score_0_1,higher_risk,0.73,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0011,GHSED-003,H_MINE,land_use_source_support_score,0.81,score_0_1,higher_risk,0.76,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0012,GHSED-003,H_URBAN,land_use_source_support_score,0.28,score_0_1,higher_risk,0.88,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0013,GHSED-003,H_AGRI,land_use_source_support_score,0.14,score_0_1,higher_risk,0.85,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0014,GHSED-003,H_LITHO,land_use_source_support_score,0.26,score_0_1,higher_risk,0.88,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0015,GHSED-003,H_PORT,land_use_source_support_score,0.1,score_0_1,higher_risk,0.81,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0016,GHSED-004,H_MINE,land_use_source_support_score,0.95,score_0_1,higher_risk,0.78,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0017,GHSED-004,H_URBAN,land_use_source_support_score,0.41,score_0_1,higher_risk,0.73,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0018,GHSED-004,H_AGRI,land_use_source_support_score,0.19,score_0_1,higher_risk,0.91,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0019,GHSED-004,H_LITHO,land_use_source_support_score,0.23,score_0_1,higher_risk,0.83,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0020,GHSED-004,H_PORT,land_use_source_support_score,0.02,score_0_1,higher_risk,0.77,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0021,GHSED-005,H_MINE,land_use_source_support_score,0.75,score_0_1,higher_risk,0.79,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0022,GHSED-005,H_URBAN,land_use_source_support_score,0.37,score_0_1,higher_risk,0.88,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0023,GHSED-005,H_AGRI,land_use_source_support_score,0.24,score_0_1,higher_risk,0.74,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0024,GHSED-005,H_LITHO,land_use_source_support_score,0.32,score_0_1,higher_risk,0.79,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0025,GHSED-005,H_PORT,land_use_source_support_score,0.08,score_0_1,higher_risk,0.9,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0026,GHSED-006,H_MINE,land_use_source_support_score,0.78,score_0_1,higher_risk,0.8,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0027,GHSED-006,H_URBAN,land_use_source_support_score,0.27,score_0_1,higher_risk,0.82,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0028,GHSED-006,H_AGRI,land_use_source_support_score,0.24,score_0_1,higher_risk,0.9,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0029,GHSED-006,H_LITHO,land_use_source_support_score,0.23,score_0_1,higher_risk,0.87,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0030,GHSED-006,H_PORT,land_use_source_support_score,0.01,score_0_1,higher_risk,0.74,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0031,GHSED-007,H_MINE,land_use_source_support_score,0.72,score_0_1,higher_risk,0.83,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0032,GHSED-007,H_URBAN,land_use_source_support_score,0.26,score_0_1,higher_risk,0.78,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0033,GHSED-007,H_AGRI,land_use_source_support_score,0.35,score_0_1,higher_risk,0.78,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0034,GHSED-007,H_LITHO,land_use_source_support_score,0.33,score_0_1,higher_risk,0.84,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0035,GHSED-007,H_PORT,land_use_source_support_score,0,score_0_1,higher_risk,0.79,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0036,GHSED-008,H_MINE,land_use_source_support_score,0.69,score_0_1,higher_risk,0.73,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0037,GHSED-008,H_URBAN,land_use_source_support_score,0.31,score_0_1,higher_risk,0.92,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
SRC-0038,GHSED-008,H_AGRI,land_use_source_support_score,0.27,score_0_1,higher_risk,0.77,2025-01-01,land-use/catchment proxy,Higher score means stronger prior support for this source hypothesis.
